epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9586535692214966,0.0010000000474974513,0.1026294007897377,0.8481002449989319,0.4332188069820404
1,0.972935676574707,0.0010000000474974513,0.06929309666156769,0.9616237282752991,0.10960394144058228
2,0.9650728702545166,0.0010000000474974513,0.08880102634429932,0.9645363092422485,0.09311655908823013
3,0.9825928807258606,0.0010000000474974513,0.044948965311050415,0.9569239616394043,0.11712020635604858
4,0.9880686402320862,0.0010000000474974513,0.030519481748342514,0.9404084086418152,0.16795428097248077
5,0.9880766868591309,0.0010000000474974513,0.03134549781680107,0.9699973464012146,0.08929254114627838
6,0.9909960627555847,0.0010000000474974513,0.022602375596761703,0.9705600142478943,0.08417004346847534
7,0.9881613850593567,0.0010000000474974513,0.03052104078233242,0.9349142909049988,0.35236862301826477
8,0.9917016625404358,0.0010000000474974513,0.02146022953093052,0.6506255269050598,3.4901890754699707
9,0.9837098121643066,0.0010000000474974513,0.041632913053035736,0.9788674116134644,0.06178939342498779
10,0.9932419657707214,0.0010000000474974513,0.016483277082443237,0.9793473482131958,0.06522461771965027
11,0.9937540888786316,0.0010000000474974513,0.015305837616324425,0.9550870656967163,0.15144972503185272
12,0.9866089820861816,0.0010000000474974513,0.03889560326933861,0.957585871219635,0.11200015991926193
13,0.9893267154693604,0.00020000000949949026,0.028866155073046684,0.9783378839492798,0.060768548399209976
14,0.9937822818756104,0.00020000000949949026,0.01591048762202263,0.9810352921485901,0.058408405631780624
15,0.9961129426956177,0.00020000000949949026,0.009888305328786373,0.9839643836021423,0.05338812246918678
16,0.9971693754196167,0.00020000000949949026,0.006872020661830902,0.9765671491622925,0.10076097398996353
17,0.997721791267395,0.00020000000949949026,0.005605639424175024,0.9841960668563843,0.06703433394432068
18,0.9979354739189148,0.00020000000949949026,0.00515426741912961,0.9857351183891296,0.05587067827582359
19,0.9988951683044434,4.0000002627493814e-05,0.002759892726317048,0.985354483127594,0.06597912311553955
20,0.9992378950119019,4.0000002627493814e-05,0.0018296482739970088,0.98576819896698,0.06717418879270554
