epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8598451614379883,0.0010000000474974513,0.3131542205810547,0.8523136973381042,0.4481155276298523
1,0.9156807661056519,0.0010000000474974513,0.20465336740016937,0.7005208134651184,2.0369691848754883
2,0.9052318930625916,0.0010000000474974513,0.2302859127521515,0.8373898267745972,0.37120702862739563
3,0.9483714699745178,0.0010000000474974513,0.13064105808734894,0.8606870174407959,0.313635915517807
4,0.9603573083877563,0.0010000000474974513,0.10163053125143051,0.8273738026618958,0.537132978439331
5,0.969871997833252,0.0010000000474974513,0.0801587924361229,0.8516626358032227,0.3605497181415558
6,0.9704705476760864,0.0010000000474974513,0.07679697871208191,0.9309895634651184,0.17916421592235565
7,0.9278221726417542,0.0010000000474974513,0.1729487180709839,0.9045801758766174,0.24967651069164276
8,0.926612377166748,0.0010000000474974513,0.18140564858913422,0.9251803159713745,0.18499913811683655
9,0.95223468542099,0.0010000000474974513,0.1220831647515297,0.9430088400840759,0.14472591876983643
10,0.9619041681289673,0.0010000000474974513,0.09889175742864609,0.946364164352417,0.1379728615283966
11,0.9702667593955994,0.0010000000474974513,0.07635149359703064,0.9522900581359863,0.11250524967908859
12,0.9767781496047974,0.0010000000474974513,0.061488643288612366,0.9083032608032227,0.293403297662735
13,0.979943573474884,0.0010000000474974513,0.05364629626274109,0.8351863026618958,0.6556799411773682
14,0.9819024205207825,0.0010000000474974513,0.04780945926904678,0.9513722062110901,0.13411390781402588
15,0.9895101189613342,0.00020000000949949026,0.027398688718676567,0.9790076613426208,0.07718945294618607
16,0.9920874834060669,0.00020000000949949026,0.020542193204164505,0.9470152258872986,0.25823885202407837
17,0.993787407875061,0.00020000000949949026,0.017721006646752357,0.9692507982254028,0.218504399061203
18,0.9934478998184204,0.00020000000949949026,0.016899101436138153,0.9659956097602844,0.3967002332210541
19,0.9958861470222473,4.0000002627493814e-05,0.011290410533547401,0.9694656729698181,0.1349598616361618
20,0.9969664216041565,4.0000002627493814e-05,0.009058041498064995,0.9773637652397156,0.10653017461299896
