epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7878021,0.42475286375125454,0.001,0.62840545,0.7158114893887287
1,0.9246091,0.18734049263452573,0.001,0.8550681,0.34225845969735813
2,0.96460867,0.09758148729120275,0.001,0.8659355,0.4282584234307974
3,0.9716209,0.07791597515740521,0.001,0.84915864,0.474099627098976
4,0.97449183,0.06974671854012707,0.001,0.7689804,1.1291108016784375
5,0.9886964,0.03105201769072238,0.00020000001,0.9795172,0.05589752615980195
6,0.99175733,0.02334888494998278,0.00020000001,0.983123,0.05320628623508711
7,0.9924529,0.020812732623014335,0.00020000001,0.97761416,0.07619657062176162
8,0.99385804,0.017382096690652687,0.00020000001,0.9819211,0.06604709034199448
9,0.9941645,0.016691766690995376,0.00020000001,0.982522,0.06429315927212323
10,0.9957786,0.011938683291611804,4.0000003e-05,0.98527646,0.05580877910660302
11,0.99684703,0.00936843352645501,4.0000003e-05,0.98452526,0.0601684876978069
